ะ,ITEM NO.,Name,Group,Order,Supplier,Q.,Unit PO, Cost PO,Q.,Unit For Stock, Cost For Stock,Q.,Unit For Recipe, Cost For Recipe,Price Update 
1,AS-0001,เอโร่ กล่องอาหาร พร้อมฝา PP ใส ขนาด 1000 มล. x 25 ชุด,AS,1,แม็คโคร,1,แพ็ค,  89.00 ,1,แพ็ค, ฿ 89.00 ,25,ชุด, ฿ 3.56 ,26/03/26
2,AS-0002,เอโร่ กล่องอาหาร 2 ช่อง พร้อมฝา PP ใส ขนาด 750 มล.,AS,2,แม็คโคร,1,แพ็ค,  89.00 ,1,แพ็ค, ฿ 89.00 ,25,ชุด, ฿ 3.56 ,
3,AS-0003,เอโร่ ฟิล์มยืดหุ้มห่ออาหาร ขนาด 14 นิ้ว ยาว 500 เมตร,AS,3,แม็คโคร,1,ม้วน,  395.00 ,1,ม้วน, ฿ 395.00 ,500,เมตร, ฿ 0.79 ,
220,AS-0004,เอโร่ กล่องอาหาร พร้อมฝา PP ใส ขนาด 750 มล. x 25 ใบ,AS,4,แม็คโคร,1,แพ็ค,  59.00 ,1,แพ็ค, ฿ 59.00 ,25,ชุด, ฿ 2.36 ,
226,AS-0005,ถุงร้อน สีขุ่น ขนาด 5*8,AS,5,SK SUPPLY,1,แพ็ค,  38.00 ,1,แพ็ค, ฿ 38.00 ,1000,กรัม, ฿ 0.04 ,
227,AS-0006,ถุงร้อน สีขุ่น  ขนาด 6*9,AS,6,SK SUPPLY,1,แพ็ค,  48.00 ,1,แพ็ค, ฿ 48.00 ,1000,กรัม, ฿ 0.05 ,
236,AS-0007,มาสเตอร์โปร ถุงมือไนโตรสีฟ้า 9 นิ้ว ไซต์L แพ็ค 100 ชิ้น,AS,7,แม็คโคร,1,กล่อง,  159.00 ,1,กล่อง, ฿ 159.00 ,100,ชิ้น, ฿ 1.59 ,26/03/26
239,AS-0008,สก็อตช์ไบรต์ ฟองน้ำ 3x4 นิ้ว แพ็ค 3+1,AS,8,แม็คโคร,1,แพ็ค,  65.00 ,4,ชิ้น, ฿ 16.25 ,1,ชิ้น, ฿ 16.25 ,
242,AS-0009,เอโร่ แอลกอฮอล์แข็ง ชนิดถ้วย 24 กรัม แพ็ค 50 ชิ้น,AS,9,แม็คโคร,1,กล่อง,  185.00 ,50,ชิ้น, ฿ 3.70 ,1,ชิ้น, ฿ 3.70 ,
246,AS-0010,โอโมพลัส ผงซักฟอกสูตรเข้มข้น ไวท์ เฟรช สีฟ้า 3000 กรัม,AS,10,แม็คโคร,1,ถุง,  175.00 ,1,ถุง, ฿ 175.00 ,1,ถุง, ฿ 175.00 ,
247,AS-0011,เอโร่ กระดาษไขเคลือบพิเศษ ขนาด 45 ซม. x 50 ม.,AS,11,แม็คโคร,1,กล่อง,  299.00 ,1,กล่อง, ฿ 299.00 ,1,กล่อง, ฿ 299.00 ,
248,AS-0012,มาสเตอร์โปร ถุงมือไนไตรขาว ขนาด M 9 นิ้ว x 100 ชิ้น,AS,12,แม็คโคร,1,กล่อง,  419.00 ,100,ชิ้น, ฿ 4.19 ,1,ชิ้น, ฿ 4.19 ,
255,AS-0013,กล่องอาหารพลาสติกพีพีพร้อมฝา ขนาด 1000 มล. x 25ชุด,AS,13,แม็คโคร,1,แพ็ค,  99.00 ,1,แพ็ค, ฿ 99.00 ,25,ชุด, ฿ 3.96 ,
289,AS-0014,"Livi กระดาษเช็ดมือ 300 แผ่น จำนวน 24 ห่อ, 1 ลัง",AS,14,TK work,1,ลัง,  995.00 ,24,ห่อ, ฿ 41.46 ,1,ห่อ, ฿ 41.46 ,28/12/25
337,AS-0015,สก๊อตช์-ไบรต์ ฝอยสเตนเลส 14 กรัม แพ็ค 6 ชิ้น,AS,15,แม็คโคร,1,แพ็ค,  69.00 ,1,แพ็ค, ฿ 69.00 ,6,ชิ้น, ฿ 11.50 ,
377,AS-0016,เชือกสีธรรมชาติ (ขาว แดง),AS,16,SK SUPPLY,1,ม้วน,  170.00 ,1,ม้วน, ฿ 170.00 ,1,ม้วน, ฿ 170.00 ,
378,AS-0017,ถุงร้อนใส ขนาด 5 กก,AS,17,ตลาดสด,1,กิโล,  100.00 ,1,กิโล, ฿ 100.00 ,1,กิโล, ฿ 100.00 ,
379,AS-0018,KIWI Pro Slice ที่ไสผักและผลไม้,AS,18,ตลาดสด,1,ชิ้น,  20.00 ,1,ชิ้น, ฿ 20.00 ,1,ชิ้น, ฿ 20.00 ,
380,AS-0019,Kiwi pro peeler ที่ปอกเปลือกผัก ผลไม้,AS,19,ตลาดสด,1,ชิ้น,  20.00 ,1,ชิ้น, ฿ 20.00 ,1,ชิ้น, ฿ 20.00 ,
381,AS-0020,แอลกอฮอล์เจลอุ่นอาหาร ขนาด 15 กก,AS,20,PEPULAR,1,แกลลอน,"  1,090.00 ",15,กิโล, ฿ 72.67 ,1,กิโล, ฿ 72.67 ,
382,AS-0021,ถ้วยกระดาษคราฟท์ 500 ml พร้อมฝา 25 ชิ้น PC500K-CL,AS,21,SK,1,แพ็ค,  108.00 ,25,ชุด, ฿ 4.32 ,1,ชิ้น, ฿ 4.32 ,
383,AS-0022,กล่องใส่อาหาร 3 ช่อง สีดำฝาใส 900 มล 50 ใบ,AS,22,SP,1,แพ็ค,  128.00 ,50,กล่อง, ฿ 2.56 ,1,กล่อง, ฿ 2.56 ,
384,AS-0023,ไดมอนด์ อะลูมิเนียมฟอยล์ ขนาด 18x37.5 ตรฟ.,AS,23,แม็คโคร,1,กล่อง,  109.00 ,1,กล่อง, ฿ 109.00 ,1,กล่อง, ฿ 109.00 ,
385,AS-0024,ไม้เสียบหัวธง ขนาด 12 ซม. (ใช้แล้วทิ้ง) (1 แพ็ค /100 ชิ้น),AS,24,แม็คโคร,1,แพ็ค,  44.00 ,1,แพ็ค, ฿ 44.00 ,100,ชิ้น, ฿ 0.44 ,
386,AS-0025,เอโร่ ถ้วยซอสพร้อมฝา PET 2 ออนซ์ 100 ชิ้น,AS,25,Makro,1,แพ็ค,  88.00 ,1,แพ็ค, ฿ 88.00 ,100,ชิ้น, ฿ 0.88 ,
387,AS-0026,เอโร่ ชามกลม พีพี พร้อมฝานูน 550 มล. x 25,AS,26,Makro,1,แพ็ค,  59.00 ,1,แพ็ค, ฿ 59.00 ,25,ชิ้น, ฿ 2.36 ,
388,AS-0027,ถุงร้อน สีใส ขนาด 5*8,AS,27,SK SUPPLY,1,แพ็ค,  38.00 ,1,แพ็ค, ฿ 38.00 ,500,กรัม, ฿ 0.08 ,
389,AS-0028,ถุงร้อน สีใส  ขนาด 6*9,AS,28,SK SUPPLY,1,แพ็ค,  48.00 ,1,แพ็ค, ฿ 48.00 ,500,กรัม, ฿ 0.10 ,
390,AS-0029,ถุงพลาสติกหูหิ้ว เนื้อ HDPE 8X16 นิ้ว (สีขุ่น),AS,29,SK SUPPLY,1,แพ็ค,  48.00 ,1,แพ็ค, ฿ 48.00 ,500,กรัม, ฿ 0.10 ,26/03/26
391,AS-0030,ชุดถุงสูญญากาศ 50 ชิ้น,AS,30,Shopee,1,แพ็ค,  82.00 ,1,แพ็ค, ฿ 82.00 ,500,กรัม, ฿ 0.16 ,
392,AS-0031,ถุงซีลสูญญากาศ ขนาด 10*15 ซม.,AS,31,Shopee,1,แพ็ค,  39.00 ,1,แพ็ค, ฿ 39.00 ,100,ใบ, ฿ 0.39 ,
393,AS-0032,ถุงซีลสูญญากาศ ขนาด 15*20 ซม.,AS,32,Shopee,1,แพ็ค,  80.00 ,1,แพ็ค, ฿ 80.00 ,100,ใบ, ฿ 0.80 ,
394,AS-0033,ถุงซีลสูญญากาศ ขนาด 17*25 ซม.,AS,33,Shopee,1,แพ็ค,  110.00 ,1,แพ็ค, ฿ 110.00 ,100,ถูง, ฿ 1.10 ,
395,AS-0034,มาสเตอร์โปร ถุงมือไนโตรสีฟ้า 9 นิ้ว ไซต์ M แพ็ค 100 ชิ้น,AS,34,แม็คโคร,1,กล่อง,  279.00 ,1,กล่อง, ฿ 279.00 ,100,ชิ้น, ฿ 2.79 ,
237,CL-0001,ไลปอนเอฟ น้ำยาล้างจาน สูตรอนามัย 3600 มล.,CL,1,แม็คโคร,1,แกลลอน,  139.00 ,1,แกลลอน, ฿ 139.00 ,3600,กรัม, ฿ 0.04 ,
259,CL-0002,มาจิคลีน สเปรย์น้ำยาทำความสะอาด สำหรับห้องครัว 500 มล.,CL,2,แม็คโคร,1,ขวด,  65.00 ,1,ขวด, ฿ 65.00 ,1,ขวด, ฿ 65.00 ,
260,CL-0003,3เอ็ม ผลิตภัณฑ์ทำความสะอาดพื้น ฆ่าเชื้อ กลิ่นโรแมนติกโรส 3.8 ลิตร,CL,3,แม็คโคร,1,แกลลอน,  195.00 ,1,แกลลอน, ฿ 195.00 ,1,แกลลอน, ฿ 195.00 ,
2,FF-0001,กรรเชียงปูใหญ่,FF,1,สุดทะเล,1,แพ็ค,  350.00 ,1,แพ็ค, ฿ 350.00 ,250,กรัม, ฿ 1.40 ,
3,FF-0002,ไข่ไก่ เบอร์ 3 (1มัด/ 5แผง),FF,2,เบทาโกร,1,มัด,  590.00 ,5,แผง, ฿ 118.00 ,30,ฟอง, ฿ 3.93 ,28/12/25
4,FF-0003,กระเทียมจีนแกะกลีบ 1 กิโลกรัม,FF,3,แม็คโคร,1,กิโล,  100.00 ,1,แพ็ค, ฿ 100.00 ,1000,กรัม, ฿ 0.10 ,26/03/26
