หมวด,ชื่อเมนู,ราคาขาย,วัตถุดิบ,ปริมาณต่อจาน,หน่วย,ราคาต่อหน่วย,ต้นทุนต่อวัตถุดิบ
Brunch,Big Dayli Breakfast,250,ไข่,1,,,
Brunch,Big Dayli Breakfast,250,bacon,1,,,
Brunch,Big Dayli Breakfast,250,sausage,1,,,
Brunch,Big Dayli Breakfast,250,mushroom,1,,,
Brunch,Big Dayli Breakfast,250,butter,1,,,
Brunch,Big Dayli Breakfast,250,toast,1,,,
Brunch,Truffle Scrambled Croissant,260,Croissant,1,,,
Brunch,Truffle Scrambled Croissant,260,eggs,1,,,
Brunch,Truffle Scrambled Croissant,260,truffle oil,1,,,
Brunch,Truffle Scrambled Croissant,260,microgreens,1,,,
Brunch,Avocado & Soft Egg Toast,220,Sourdough,1,,,
Brunch,Avocado & Soft Egg Toast,220,avocado,1,,,
Brunch,Avocado & Soft Egg Toast,220,egg,1,,,
Brunch,Avocado & Soft Egg Toast,220,tomato,1,,,
Brunch,Berry Yogurt Bowl,200,Frozen berries,1,,,
Brunch,Berry Yogurt Bowl,200,yogurt,1,,,
Brunch,Berry Yogurt Bowl,200,granola,1,,,
Brunch,Tomato Frittata with Cheese,210,Eggs,1,,,
Brunch,Tomato Frittata with Cheese,210,cherry tomato,1,,,
Brunch,Tomato Frittata with Cheese,210,cheese,1,,,
Brunch,Tomato Frittata with Cheese,210,herbs,1,,,
Brunch,Smoked Salmon Bagel,260,Bagel,1,,,
Brunch,Smoked Salmon Bagel,260,smoked salmon,1,,,
Brunch,Smoked Salmon Bagel,260,cream cheese,1,,,
Brunch,Quinoa & Veggie Bowl,230,Quinoa,1,,,
Brunch,Quinoa & Veggie Bowl,230,roasted veggies,1,,,
Brunch,Quinoa & Veggie Bowl,230,vinaigrette,1,,,
Brunch,French Toast with Berry Jam,200,Brioche,1,,,
Brunch,French Toast with Berry Jam,200,berry jam,1,,,
Brunch,Huevos Rancheros (Mexican style),240,Tortilla,1,,,
Brunch,Huevos Rancheros (Mexican style),240,egg,1,,,
Brunch,Huevos Rancheros (Mexican style),240,salsa,1,,,
Brunch,Huevos Rancheros (Mexican style),240,beans,1,,,
Brunch,Chia Pudding with Mango Puree,180,Chia seeds,1,,,
Brunch,Chia Pudding with Mango Puree,180,mango concentrate,1,,,
Brunch,Chia Pudding with Mango Puree,180,coconut milk,1,,,
Thai Fusion,ข้าวหมูฮ้องไข่ลาวา (Braised pork belly lava egg rice),200,หมูฮ้อง,1,,,
